date,datetime,cash_type,card,money,coffee_name,,,,
13-03-2024,14:26:41,card,ANON-0000-0000-0052,33.8,Americano with Milk,,,,
13-03-2024,15:40:22,card,ANON-0000-0000-0053,24,Espresso,,,,
13-03-2024,15:41:20,card,ANON-0000-0000-0053,24,Espresso,,,,
13-03-2024,16:47:09,card,ANON-0000-0000-0054,24,Espresso,,,,
14-03-2024,10:02:12,cash,,40,Latte,,,,
14-03-2024,10:28:33,card,ANON-0000-0000-0055,38.7,Latte,,,,
14-03-2024,10:29:34,card,ANON-0000-0000-0055,38.7,Hot Chocolate,,,,
14-03-2024,13:27:30,card,ANON-0000-0000-0012,28.9,Cortado,,,,
14-03-2024,13:28:25,card,ANON-0000-0000-0012,28.9,Americano,,,,
14-03-2024,13:52:00,card,ANON-0000-0000-0056,33.8,Americano with Milk,,,,
14-03-2024,13:52:56,card,ANON-0000-0000-0057,24,Espresso,,,,
14-03-2024,15:20:38,card,ANON-0000-0000-0058,38.7,Latte,,,,
14-03-2024,16:04:10,card,ANON-0000-0000-0059,33.8,Americano with Milk,,,,
14-03-2024,16:54:38,card,ANON-0000-0000-0050,24,Espresso,,,,
14-03-2024,18:58:56,card,ANON-0000-0000-0019,38.7,Hot Chocolate,,,,
14-03-2024,19:00:09,card,ANON-0000-0000-0012,28.9,Cortado,,,,
15-03-2024,10:02:17,cash,,40,Latte,,,,
15-03-2024,10:53:02,card,ANON-0000-0000-0060,38.7,Hot Chocolate,,,,
15-03-2024,18:19:28,card,ANON-0000-0000-0012,28.9,Americano,,,,
16-03-2024,12:06:55,card,ANON-0000-0000-0061,33.8,Americano with Milk,,,,
16-03-2024,12:07:54,card,ANON-0000-0000-0061,28.9,Americano,,,,
16-03-2024,15:58:18,card,ANON-0000-0000-0009,28.9,Cortado,,,,
16-03-2024,16:03:22,card,ANON-0000-0000-0009,28.9,Cortado,,,,
16-03-2024,16:04:11,card,ANON-0000-0000-0012,28.9,Cortado,,,,
16-03-2024,17:58:07,card,ANON-0000-0000-0062,33.8,Americano with Milk,,,,
17-03-2024,10:10:21,cash,,40,Latte,,,,
17-03-2024,12:55:26,card,ANON-0000-0000-0063,28.9,Cortado,,,,
18-03-2024,11:18:00,card,ANON-0000-0000-0064,28.9,Cortado,,,,
18-03-2024,15:31:40,card,ANON-0000-0000-0003,28.9,Americano,,,,
18-03-2024,15:32:38,card,ANON-0000-0000-0003,28.9,Americano,,,,
18-03-2024,15:33:37,card,ANON-0000-0000-0003,28.9,Americano,,,,
19-03-2024,10:20:26,cash,,30,Cortado,,,,
19-03-2024,14:02:22,card,ANON-0000-0000-0065,38.7,Latte,,,,
19-03-2024,14:03:20,card,ANON-0000-0000-0065,38.7,Latte,,,,
19-03-2024,15:04:36,card,ANON-0000-0000-0049,38.7,Hot Chocolate,,,,
19-03-2024,16:53:49,card,ANON-0000-0000-0066,33.8,Americano with Milk,,,,
19-03-2024,19:26:33,cash,,40,Hot Chocolate,,,,
20-03-2024,11:41:16,card,ANON-0000-0000-0012,28.9,Cortado,,,,
20-03-2024,12:21:08,cash,,40,Latte,,,,
20-03-2024,12:30:49,card,ANON-0000-0000-0049,28.9,Cortado,,,,
20-03-2024,13:16:47,card,ANON-0000-0000-0067,38.7,Cappuccino,,,,
20-03-2024,16:42:38,card,ANON-0000-0000-0050,38.7,Cocoa,,,,
20-03-2024,17:50:29,card,ANON-0000-0000-0068,38.7,Latte,,,,
21-03-2024,10:18:57,cash,,40,Cappuccino,,,,
21-03-2024,12:25:09,card,ANON-0000-0000-0012,28.9,Cortado,,,,
21-03-2024,12:26:17,card,ANON-0000-0000-0012,38.7,Cappuccino,,,,
21-03-2024,17:21:01,cash,,30,Americano,,,,
21-03-2024,17:22:01,card,ANON-0000-0000-0012,28.9,Cortado,,,,
21-03-2024,19:20:37,card,ANON-0000-0000-0069,38.7,Latte,,,,
22-03-2024,10:35:54,card,ANON-0000-0000-0070,33.8,Americano with Milk,,,,
22-03-2024,13:29:20,card,ANON-0000-0000-0071,33.8,Americano with Milk,,,,
22-03-2024,16:15:14,cash,,40,Cappuccino,,,,
22-03-2024,17:17:04,card,ANON-0000-0000-0012,28.9,Americano,,,,
22-03-2024,17:17:59,card,ANON-0000-0000-0012,24,Espresso,,,,
22-03-2024,17:20:49,card,ANON-0000-0000-0050,28.9,Americano,,,,
23-03-2024,10:44:00,card,ANON-0000-0000-0072,38.7,Latte,,,,
23-03-2024,10:45:07,card,ANON-0000-0000-0073,33.8,Americano with Milk,,,,
23-03-2024,13:10:08,card,ANON-0000-0000-0074,38.7,Cappuccino,,,,
23-03-2024,13:11:12,card,ANON-0000-0000-0074,38.7,Cocoa,,,,
23-03-2024,14:44:41,card,ANON-0000-0000-0075,33.8,Americano with Milk,,,,
23-03-2024,15:47:19,card,ANON-0000-0000-0076,38.7,Latte,,,,
23-03-2024,15:49:34,card,ANON-0000-0000-0076,33.8,Americano with Milk,,,,
23-03-2024,16:00:58,card,ANON-0000-0000-0009,28.9,Cortado,,,,
24-03-2024,10:03:56,cash,,40,Latte,,,,
24-03-2024,18:45:08,card,ANON-0000-0000-0077,38.7,Latte,,,,
25-03-2024,10:31:47,card,ANON-0000-0000-0009,38.7,Latte,,,,
25-03-2024,11:16:26,cash,,35,Americano with Milk,,,,
25-03-2024,14:27:09,card,ANON-0000-0000-0078,38.7,Latte,,,,
25-03-2024,14:29:25,card,ANON-0000-0000-0017,38.7,Latte,,,,
25-03-2024,18:37:31,card,ANON-0000-0000-0024,33.8,Americano with Milk,,,,
25-03-2024,19:34:25,card,ANON-0000-0000-0079,38.7,Cappuccino,,,,
26-03-2024,10:35:50,card,ANON-0000-0000-0055,38.7,Cocoa,,,,
26-03-2024,10:36:36,card,ANON-0000-0000-0055,38.7,Latte,,,,
26-03-2024,10:42:30,card,ANON-0000-0000-0080,38.7,Latte,,,,
26-03-2024,11:11:47,card,ANON-0000-0000-0009,28.9,Cortado,,,,
26-03-2024,13:35:53,card,ANON-0000-0000-0003,28.9,Americano,,,,
26-03-2024,13:36:50,card,ANON-0000-0000-0032,28.9,Cortado,,,,
26-03-2024,13:38:00,card,ANON-0000-0000-0059,28.9,Cortado,,,,
26-03-2024,13:57:54,card,ANON-0000-0000-0050,28.9,Americano,,,,
26-03-2024,15:48:02,card,ANON-0000-0000-0081,38.7,Latte,,,,
26-03-2024,18:33:39,card,ANON-0000-0000-0024,38.7,Latte,,,,
26-03-2024,18:34:55,card,ANON-0000-0000-0009,38.7,Hot Chocolate,,,,
27-03-2024,11:04:51,card,ANON-0000-0000-0003,28.9,Cortado,,,,
27-03-2024,11:05:58,card,ANON-0000-0000-0003,33.8,Americano with Milk,,,,
27-03-2024,12:57:00,card,ANON-0000-0000-0082,33.8,Americano with Milk,,,,
27-03-2024,13:35:20,card,ANON-0000-0000-0083,38.7,Hot Chocolate,,,,
27-03-2024,14:22:32,card,ANON-0000-0000-0012,38.7,Cappuccino,,,,
27-03-2024,14:23:35,card,ANON-0000-0000-0012,28.9,Americano,,,,
27-03-2024,18:30:12,card,ANON-0000-0000-0084,28.9,Cortado,,,,
27-03-2024,19:31:12,cash,,40,Latte,,,,
28-03-2024,14:24:47,card,ANON-0000-0000-0085,28.9,Cortado,,,,
28-03-2024,17:24:46,card,ANON-0000-0000-0012,28.9,Cortado,,,,
28-03-2024,17:27:05,card,ANON-0000-0000-0012,28.9,Americano,,,,
28-03-2024,17:32:45,card,ANON-0000-0000-0086,38.7,Latte,,,,
29-03-2024,10:56:19,card,ANON-0000-0000-0087,38.7,Latte,,,,
29-03-2024,12:34:17,card,ANON-0000-0000-0088,38.7,Cappuccino,,,,
29-03-2024,12:41:32,card,ANON-0000-0000-0088,38.7,Cappuccino,,,,
29-03-2024,13:22:45,cash,,40,Cappuccino,,,,
30-03-2024,11:59:20,card,ANON-0000-0000-0069,38.7,Latte,,,,
30-03-2024,13:49:26,cash,,40,Cappuccino,,,,
30-03-2024,16:12:32,card,ANON-0000-0000-0017,38.7,Latte,,,,
30-03-2024,16:36:41,card,ANON-0000-0000-0009,38.7,Latte,,,,
30-03-2024,16:37:58,card,ANON-0000-0000-0009,33.8,Americano with Milk,,,,
31-03-2024,10:40:05,card,ANON-0000-0000-0089,38.7,Cappuccino,,,,
31-03-2024,19:36:45,cash,,30,Americano,,,,
01-04-2024,10:28:48,card,ANON-0000-0000-0004,28.9,Americano,,,,
01-04-2024,10:29:42,card,ANON-0000-0000-0004,33.8,Americano with Milk,,,,
01-04-2024,10:30:44,card,ANON-0000-0000-0004,33.8,Americano with Milk,,,,
01-04-2024,11:15:44,card,ANON-0000-0000-0009,33.8,Americano with Milk,,,,
01-04-2024,17:01:43,cash,,40,Cappuccino,,,,
01-04-2024,18:18:42,card,ANON-0000-0000-0024,33.8,Americano with Milk,,,,
01-04-2024,18:45:27,card,ANON-0000-0000-0090,38.7,Hot Chocolate,,,,
02-04-2024,10:01:14,card,ANON-0000-0000-0001,38.7,Latte,,,,
02-04-2024,16:18:34,card,ANON-0000-0000-0003,28.9,Americano,,,,
02-04-2024,16:19:28,card,ANON-0000-0000-0003,28.9,Cortado,,,,
02-04-2024,19:59:32,cash,,40,Cappuccino,,,,
03-04-2024,10:19:14,card,ANON-0000-0000-0003,28.9,Cortado,,,,
03-04-2024,10:20:08,card,ANON-0000-0000-0003,28.9,Americano,,,,
03-04-2024,13:12:05,card,ANON-0000-0000-0012,38.7,Cappuccino,,,,
03-04-2024,15:36:12,cash,,30,Cortado,,,,
04-04-2024,10:44:56,card,ANON-0000-0000-0091,38.7,Latte,,,,
04-04-2024,11:26:38,card,ANON-0000-0000-0092,38.7,Latte,,,,
04-04-2024,11:27:48,card,ANON-0000-0000-0093,38.7,Cappuccino,,,,
04-04-2024,12:23:02,card,ANON-0000-0000-0094,28.9,Cortado,,,,
04-04-2024,19:42:08,cash,,40,Latte,,,,
05-04-2024,10:40:43,card,ANON-0000-0000-0095,28.9,Americano,,,,
05-04-2024,10:42:06,card,ANON-0000-0000-0012,28.9,Americano,,,,
05-04-2024,11:06:15,card,ANON-0000-0000-0096,28.9,Cortado,,,,
05-04-2024,12:14:28,card,ANON-0000-0000-0097,33.8,Americano with Milk,,,,
05-04-2024,14:23:40,card,ANON-0000-0000-0098,38.7,Latte,,,,
05-04-2024,14:24:50,card,ANON-0000-0000-0098,28.9,Cortado,,,,
05-04-2024,15:30:50,cash,,40,Latte,,,,
05-04-2024,15:54:16,cash,,40,Cappuccino,,,,
05-04-2024,15:55:31,cash,,30,Americano,,,,
05-04-2024,16:17:44,cash,,40,Cocoa,,,,
05-04-2024,16:18:24,card,ANON-0000-0000-0003,24,Espresso,,,,
06-04-2024,12:32:31,card,ANON-0000-0000-0099,33.8,Americano with Milk,,,,
06-04-2024,14:13:19,card,ANON-0000-0000-0040,38.7,Cappuccino,,,,
06-04-2024,14:14:27,card,ANON-0000-0000-0040,28.9,Americano,,,,
06-04-2024,14:49:50,card,ANON-0000-0000-0009,38.7,Latte,,,,
07-04-2024,10:12:53,card,ANON-0000-0000-0091,38.7,Latte,,,,
07-04-2024,12:44:32,card,ANON-0000-0000-0040,38.7,Cappuccino,,,,
07-04-2024,12:46:05,card,ANON-0000-0000-0040,38.7,Cappuccino,,,,
07-04-2024,14:16:25,card,ANON-0000-0000-0100,28.9,Cortado,,,,
07-04-2024,14:17:31,card,ANON-0000-0000-0100,24,Espresso,,,,
07-04-2024,18:01:17,card,ANON-0000-0000-0101,38.7,Hot Chocolate,,,,
07-04-2024,18:02:04,card,ANON-0000-0000-0101,33.8,Americano with Milk,,,,
08-04-2024,10:58:21,card,ANON-0000-0000-0102,33.8,Americano with Milk,,,,
08-04-2024,10:59:28,card,ANON-0000-0000-0103,38.7,Cappuccino,,,,
08-04-2024,11:01:20,card,ANON-0000-0000-0012,28.9,Americano,,,,
08-04-2024,11:04:47,card,ANON-0000-0000-0104,38.7,Cappuccino,,,,
08-04-2024,12:54:26,cash,,25,Espresso,,,,
08-04-2024,15:43:37,cash,,35,Americano with Milk,,,,
08-04-2024,16:41:38,card,ANON-0000-0000-0017,38.7,Latte,,,,
08-04-2024,18:18:10,card,ANON-0000-0000-0105,28.9,Americano,,,,
08-04-2024,19:22:27,card,ANON-0000-0000-0024,33.8,Americano with Milk,,,,
08-04-2024,19:23:59,card,ANON-0000-0000-0106,38.7,Cappuccino,,,,
09-04-2024,10:22:27,cash,,40,Cappuccino,,,,
09-04-2024,10:24:10,cash,,30,Americano,,,,
09-04-2024,11:42:28,card,ANON-0000-0000-0091,38.7,Latte,,,,
09-04-2024,15:11:49,card,ANON-0000-0000-0107,38.7,Hot Chocolate,,,,
09-04-2024,17:25:24,card,ANON-0000-0000-0049,38.7,Hot Chocolate,,,,
10-04-2024,10:21:26,cash,,25,Espresso,,,,
10-04-2024,17:55:07,cash,,40,Hot Chocolate,,,,
10-04-2024,17:55:31,card,ANON-0000-0000-0108,24,Espresso,,,,
10-04-2024,18:24:59,card,ANON-0000-0000-0009,38.7,Cappuccino,,,,
10-04-2024,20:04:05,card,ANON-0000-0000-0109,38.7,Latte,,,,
11-04-2024,10:41:23,card,ANON-0000-0000-0110,28.9,Americano,,,,
11-04-2024,10:42:59,card,ANON-0000-0000-0110,28.9,Americano,,,,
11-04-2024,16:35:23,card,ANON-0000-0000-0017,38.7,Latte,,,,
11-04-2024,19:16:57,card,ANON-0000-0000-0106,38.7,Cappuccino,,,,
11-04-2024,19:18:37,card,ANON-0000-0000-0024,33.8,Americano with Milk,,,,
12-04-2024,19:03:43,card,ANON-0000-0000-0019,38.7,Hot Chocolate,,,,
12-04-2024,19:38:23,card,ANON-0000-0000-0009,28.9,Cortado,,,,
13-04-2024,12:29:20,card,ANON-0000-0000-0009,38.7,Latte,,,,
13-04-2024,12:43:02,card,ANON-0000-0000-0012,28.9,Americano,,,,
13-04-2024,15:06:52,cash,,40,Hot Chocolate,,,,
13-04-2024,15:07:56,cash,,40,Hot Chocolate,,,,
13-04-2024,16:18:04,card,ANON-0000-0000-0111,38.7,Cappuccino,,,,
13-04-2024,16:19:40,card,ANON-0000-0000-0111,38.7,Latte,,,,
13-04-2024,17:51:26,card,ANON-0000-0000-0112,38.7,Cappuccino,,,,
13-04-2024,17:53:19,card,ANON-0000-0000-0012,38.7,Cappuccino,,,,
14-04-2024,10:55:27,cash,,40,Latte,,,,
14-04-2024,12:24:39,card,ANON-0000-0000-0113,38.7,Cappuccino,,,,
14-04-2024,12:27:09,cash,,30,Cortado,,,,
14-04-2024,12:29:07,cash,,30,Cortado,,,,
14-04-2024,12:31:36,cash,,35,Americano with Milk,,,,
14-04-2024,13:21:50,card,ANON-0000-0000-0114,28.9,Cortado,,,,
14-04-2024,14:23:32,card,ANON-0000-0000-0012,28.9,Americano,,,,
14-04-2024,14:24:27,card,ANON-0000-0000-0012,28.9,Americano,,,,
14-04-2024,14:25:18,card,ANON-0000-0000-0012,28.9,Americano,,,,
14-04-2024,15:46:28,card,ANON-0000-0000-0017,38.7,Cappuccino,,,,
14-04-2024,16:59:55,card,ANON-0000-0000-0012,28.9,Cortado,,,,
14-04-2024,17:00:45,card,ANON-0000-0000-0019,38.7,Latte,,,,
14-04-2024,18:38:20,card,ANON-0000-0000-0115,38.7,Cappuccino,,,,
15-04-2024,11:45:25,card,ANON-0000-0000-0064,28.9,Americano,,,,
15-04-2024,17:01:46,card,ANON-0000-0000-0003,28.9,Americano,,,,
15-04-2024,17:02:50,card,ANON-0000-0000-0004,33.8,Americano with Milk,,,,
15-04-2024,19:33:03,card,ANON-0000-0000-0009,33.8,Americano with Milk,,,,
15-04-2024,19:41:58,cash,,25,Espresso,,,,
16-04-2024,10:43:50,cash,,35,Americano with Milk,,,,
16-04-2024,10:46:26,card,ANON-0000-0000-0116,33.8,Americano with Milk,,,,
16-04-2024,12:40:48,card,ANON-0000-0000-0117,38.7,Cocoa,,,,
16-04-2024,12:52:08,card,ANON-0000-0000-0064,28.9,Cortado,,,,
16-04-2024,15:03:17,card,ANON-0000-0000-0118,28.9,Americano,,,,
16-04-2024,17:42:04,card,ANON-0000-0000-0024,33.8,Americano with Milk,,,,
16-04-2024,17:43:23,card,ANON-0000-0000-0009,38.7,Cappuccino,,,,
16-04-2024,18:09:05,card,ANON-0000-0000-0050,38.7,Cocoa,,,,
17-04-2024,13:33:00,card,ANON-0000-0000-0012,28.9,Americano,,,,
17-04-2024,13:44:00,card,ANON-0000-0000-0119,24,Espresso,,,,
17-04-2024,16:13:24,cash,,40,Cappuccino,,,,
17-04-2024,17:01:35,card,ANON-0000-0000-0120,38.7,Cappuccino,,,,
17-04-2024,17:02:41,card,ANON-0000-0000-0120,38.7,Cappuccino,,,,
17-04-2024,18:14:03,card,ANON-0000-0000-0121,28.9,Cortado,,,,
18-04-2024,11:19:02,card,ANON-0000-0000-0003,28.9,Americano,,,,
18-04-2024,11:20:06,card,ANON-0000-0000-0003,28.9,Americano,,,,
18-04-2024,13:49:13,card,ANON-0000-0000-0122,33.8,Americano with Milk,,,,
18-04-2024,13:50:17,card,ANON-0000-0000-0122,28.9,Cortado,,,,
18-04-2024,14:34:20,card,ANON-0000-0000-0123,38.7,Cappuccino,,,,
18-04-2024,14:35:49,card,ANON-0000-0000-0123,38.7,Latte,,,,
18-04-2024,17:44:16,card,ANON-0000-0000-0069,38.7,Latte,,,,
18-04-2024,18:21:06,card,ANON-0000-0000-0085,38.7,Cappuccino,,,,
18-04-2024,19:39:51,card,ANON-0000-0000-0024,38.7,Hot Chocolate,,,,
18-04-2024,19:40:49,card,ANON-0000-0000-0009,38.7,Hot Chocolate,,,,
19-04-2024,10:10:36,card,ANON-0000-0000-0001,38.7,Latte,,,,
19-04-2024,13:11:48,card,ANON-0000-0000-0040,33.8,Americano with Milk,,,,
19-04-2024,13:13:21,card,ANON-0000-0000-0040,38.7,Cappuccino,,,,
19-04-2024,13:58:54,card,ANON-0000-0000-0124,38.7,Hot Chocolate,,,,
19-04-2024,13:59:50,card,ANON-0000-0000-0124,38.7,Cappuccino,,,,
19-04-2024,18:23:19,card,ANON-0000-0000-0024,38.7,Cocoa,,,,
19-04-2024,18:25:33,card,ANON-0000-0000-0009,33.8,Americano with Milk,,,,
20-04-2024,11:24:43,cash,,35,Americano with Milk,,,,
20-04-2024,12:08:36,card,ANON-0000-0000-0125,33.8,Americano with Milk,,,,
20-04-2024,12:09:43,card,ANON-0000-0000-0125,33.8,Americano with Milk,,,,
20-04-2024,13:08:37,card,ANON-0000-0000-0118,28.9,Americano,,,,
20-04-2024,13:09:48,card,ANON-0000-0000-0118,33.8,Americano with Milk,,,,
20-04-2024,13:10:55,card,ANON-0000-0000-0118,38.7,Hot Chocolate,,,,
20-04-2024,14:44:18,card,ANON-0000-0000-0040,38.7,Cappuccino,,,,
20-04-2024,15:11:00,card,ANON-0000-0000-0009,33.8,Americano with Milk,,,,
20-04-2024,15:22:41,card,ANON-0000-0000-0012,32.82,Americano with Milk,,,,
20-04-2024,15:49:25,card,ANON-0000-0000-0126,32.82,Americano with Milk,,,,
20-04-2024,17:07:58,cash,,39,Cocoa,,,,
20-04-2024,18:27:41,card,ANON-0000-0000-0127,37.72,Cappuccino,,,,
20-04-2024,18:28:47,card,ANON-0000-0000-0127,37.72,Cappuccino,,,,
20-04-2024,19:30:55,card,ANON-0000-0000-0128,37.72,Latte,,,,
21-04-2024,11:16:46,card,ANON-0000-0000-0001,37.72,Latte,,,,
21-04-2024,14:15:38,card,ANON-0000-0000-0099,27.92,Americano,,,,
21-04-2024,17:09:03,cash,,39,Cappuccino,,,,
22-04-2024,11:09:16,card,ANON-0000-0000-0012,27.92,Americano,,,,
22-04-2024,11:29:27,card,ANON-0000-0000-0129,32.82,Americano with Milk,,,,
